meta_industry,requirement,count
Technology,Experience with SolidWorks Simulation or ANSYS FEA,1
Retail and Consumer Goods,Jira,1
Miscellaneous,Mechanical aptitude,1
Manufacturing,Occasional travel,1
Manufacturing,Rotation shift and overtime work,1
Services,High School Diploma/GED,1
Miscellaneous,Proficiency with Adobe Creative Suite,1
Services,Training ability,1
Services,Participate in various program Integrated Product Team (IPT) meetings,1
Transportation and Logistics,Kneeling,1
Retail and Consumer Goods,Analytical skills,2
Retail and Consumer Goods,Basic Microsoft Office skills,1
Real Estate and Construction,Action-oriented,1
Real Estate and Construction,Regulation review,1
Retail and Consumer Goods,"Ability to lift, push, or pull up to 50 pounds",1
Transportation and Logistics,Manage site's environmental program,1
Real Estate and Construction,Time Series,1
Real Estate and Construction,Accounts receivable,1
Education and Training,Adobe Acrobat,1
Healthcare and Medical,Assist with tray pickup,1
Services,Database schema creation,1
Technology,Quota achievement,37
Services,3-5 years patent/trade secret litigation,1
Services,Ability to communicate effectively in English,1
Services,Documentation skills,2
Education and Training,Analyzing large datasets,1
Technology,Forecasting,1
Services,Excellent time management,1
Retail and Consumer Goods,"Open availability (incl. evenings, weekends, holidays)",1
Miscellaneous,Newsletter content generation,1
Technology,Linux Administration,2
Healthcare and Medical,Strong customer service/communication skills,1
Transportation and Logistics,"Technical background generators, engines, components",1
Transportation and Logistics,Interpersonal skills,1
Healthcare and Medical,Customer service,2
Services,Experience working on a broad spectrum of cases.,1
Services,Large corporation identity management experience,1
Retail and Consumer Goods,basic troubleshooting,1
Transportation and Logistics,Troubleshooting using schematics and multimeters,1
Retail and Consumer Goods,Climb,1
Services,Lift up to 50 lbs (heavier with equipment),1
Healthcare and Medical,Meets with stakeholders,1
Financial and Investment,Bank operations,2
Technology,Nonprofit partnership,1
Healthcare and Medical,Trauma Service Line Exp,1
Services,Virtual meetings,1
Healthcare and Medical,NRP ,1
Miscellaneous,Amazon experience,1
Services,Excellent leadership skills.,1
Services,Review medical reports,1
Services,phone communication,1
Healthcare and Medical,Bachelor's degree,4
Services,Work in heat and humidity,1
Technology,Technical Leadership,1
Miscellaneous,Ability to effectively present verbally and in written form,1
Financial and Investment,BSA recordkeeping,1
Services,Hyper-V,1
Services,Understanding of financial challenges and opportunities in industrial space ,1
Healthcare and Medical,Do food prep,1
Technology,Develop plans for prototyping,1
Manufacturing,Safe working knowledge of shop tools and equipment,1
Services,Organizational skills,13
Miscellaneous,Accountability,2
Retail and Consumer Goods,Lift product up to 50 lbs,1
Retail and Consumer Goods,Flexible availability,1
Miscellaneous,Valid Driver’s License with satisfactory driving record,1
Retail and Consumer Goods,Ability to climb ladders occasionally,1
Miscellaneous,Efficiency improvement,1
Retail and Consumer Goods,Use of face masks,1
Healthcare and Medical,"Willingness to be ""on-call""",1
Services,Crane Service Business,1
Manufacturing,"Device Dismantling, Part Removal and Inspection",1
Transportation and Logistics,Electrical/electronic systems testing experience,1
Real Estate and Construction,Home purchase discounts,2
Retail and Consumer Goods,Flexible work schedule,1
Services,Hadoop,3
Services,Third Party Risk Management,1
Miscellaneous,Bachelor’s Degree ,1
Healthcare and Medical,Orthopedic implants,1
Miscellaneous,Attention to detail,1
Services,business requirements,1
Services,Collaboration with clients in industrial sector ,1
Services,Risk management documentation,1
Retail and Consumer Goods,Identifying talent and developing Team Members and Department Managers,1
Services,Bilingual (English/Spanish),1
Miscellaneous,"Dynamics: diverse organizational contexts, long-term strategic talent initiatives, C-suite support",1
Services,"- Calculating Insurance to Value, Total Insured Value, and Probable Maximum Loss",1
Retail and Consumer Goods,Knife skills,1
Retail and Consumer Goods,Pallet jack operation,1
Retail and Consumer Goods,Multiple task handling,1
Retail and Consumer Goods,Learn technical requirements,1
Manufacturing,Control Instrument Adjustment,1
Manufacturing,leadership,1
Government and Public Policy,CSS,1
Retail and Consumer Goods,LaborPro or StandardsPro (preferred),1
Services,Machine learning algorithms,1
Miscellaneous,present facts and recommendations effectively ,1
Financial and Investment,Office of Foreign Assets Control (OFAC),5
Real Estate and Construction,Azure Certified Administrator,1
Healthcare and Medical,Current BCLS,1
Technology,Design enterprise network solutions,1
Technology,Security,1
Services,"Knowledge of information technology, training, industry experience, and knowledge of state and local professional services industry",1
Government and Public Policy,Decision making,1
Services,Proficiency in Excel,1
Real Estate and Construction,Architectural drawings,1
Healthcare and Medical,Healthcare software platform,1
Technology,Puppet,1
Real Estate and Construction,5+ years of programming,1
Services,"Network technology: LAN/WAN, TCP/IP, DNS, DHCP, VPN, SMTP, etc.",1
Services,Bachelor's Degree,7
Manufacturing,2-3 years of experience in transmission planning,1
Government and Public Policy,Contract management,1
Transportation and Logistics,Light lifting,1
Retail and Consumer Goods,Communication with Store Manager,1
Healthcare and Medical,RN Licensure,1
Retail and Consumer Goods,Presentation skills,1
Retail and Consumer Goods,Reliability,1
Services,Organize activities,1
Real Estate and Construction,Tableau,1
Financial and Investment,Bank deposit accounting systems,1
Healthcare and Medical,FL Licensure,1
Healthcare and Medical,Patient and Family Education,1
Services,Administrative skills,1
Government and Public Policy,Support,1
Real Estate and Construction,BIM,1
Technology,Strong consultative relationships,1
Services,HID,1
Technology,React,2
Manufacturing,interpersonal skills,1
Transportation and Logistics,Cost control,1
Services,Bachelor's degree in business administration or similar,1
Services,Azure Cloud,1
Retail and Consumer Goods,Excellent communication skills,3
Services,Work around moving mechanical parts,1
Services,Power BI,2
Services,Tomcat,1
Services,ongo vs cosmos,1
Real Estate and Construction,HTML,2
Manufacturing,Process knowledge,1
Financial and Investment,Educate clients on conducting banking transactions online and via mobile app,1
Healthcare and Medical,Answer phones,1
Technology,Develop training materials ,1
Services,LLVM,1
Services,Working knowledge of CAD tools,1
Services,Provide guidance on lineage creation,1
Retail and Consumer Goods,Produce operations knowledge,1
Manufacturing,Lift 35 pounds,1
Services,CCI,2
Real Estate and Construction,High School Diploma/GED or equivalent work experience,1
Government and Public Policy,Experience with agile methodologies,1
Services,Ability to work in extreme weather,1
Services,Physical ability to work in loud environments,1
Services,Spring,1
Technology,Experience with Minitab or MATLAB,1
Real Estate and Construction,"Familiarity with data analysis tools such as SQL, R, and Python libraries",1
Technology,Basic design principles,1
Real Estate and Construction,GAAP,1
Real Estate and Construction,Job costs,1
Real Estate and Construction,Support audit requirements,1
Services,"Bachelor's degree in Business, Finance, or related field",1
Services,"Bachelor's in business, finance or related field",1
Transportation and Logistics,Enforce Authority’s Ground Transportation regulations and procedures,1
Services,"Product documentation, specifications, and drawings",1
Services,Basic project coordination skills,1
Transportation and Logistics,Report and presentation preparation and delivery,1
Real Estate and Construction,Long Term Disability ,1
Healthcare and Medical,Certified Professional Patient Safety (CPPS),1
Government and Public Policy,"3+ years of experience in software development using Java, C++, and Python",1
Manufacturing,PowerPoint,1
Services,hearing,1
Services,pulling,1
Services,Stand for 8-12 hours,1
Retail and Consumer Goods,Reliable and trustworthy,2
Services,Risk Mitigation,1
Healthcare and Medical,Minimum of 3 years’ of driver experience ,1
Technology,Fast-paced environmental comfort,1
Healthcare and Medical,Graduate of an accredited school of nursing,1
Services,Administering manual physical exercises,1
Transportation and Logistics,Monitor taxi and commercial vehicle availability for timely service for passengers,1
Education and Training,Installation,1
Technology,"Experience with FEKO, CST, HFSS or similar electromagnetic simulation code",1
Technology,Handling confidential information,1
Retail and Consumer Goods,50 lbs. lifting capability,1
Retail and Consumer Goods,Knowledge of deli and chicken kitchen operations ,1
Services,Attention to detail,15
Miscellaneous,Wix/Squarespace,1
Healthcare and Medical,Stationary at a desk,1
Services,Developing solutions,1
Healthcare and Medical,training,1
Financial and Investment,Prioritizing,1
Financial and Investment,Social engineering exercises,1
Services,RESTful,2
Government and Public Policy,Training Development,1
Education and Training,Overnight travel,1
Miscellaneous,"Understanding of CAN-SPAM, GDPR and CCPA ",1
Manufacturing,High school graduate or GED,1
Retail and Consumer Goods,Organisation ,1
Services,"Complies with organizational systems, programs, training, policies, and procedures",1
Services,data modeling,1
Retail and Consumer Goods,Team environment,1
Services,Degree in Interior Design,1
Services,"Photoshop, Pages, Numbers",1
Miscellaneous,Cloud Architecture,1
Services,"Bachelor's degree in Business, Finance, or related ",1
Government and Public Policy,Consulting Development,1
